x,y,z
-602.20893,3588.89076,6327.4442
1774.67917,336.00123,6326.14895
3350.47996,2114.83885,6324.02585
3976.61435,-3041.72119,6322.25347
2749.78843,4930.74615,6320.19338
3173.36912,1344.24647,6315.05273
3578.82272,1969.34318,6312.37068
3235.15011,-844.3584,6311.99404
2770.26194,2405.92124,6310.03048
-695.14474,5292.90568,6308.98343
5590.35028,2431.06927,6307.50665
2900.26779,-3449.57426,6307.24951
729.35578,-5508.65511,6303.90633
2890.25864,-900.14485,6303.83147
-1611.41392,2564.63468,6303.02634
2175.11335,2108.03095,6302.95223
-1017.28126,-3436.00792,6298.32624
2592.13491,-741.10489,6296.40501
5309.31948,-2789.85932,6296.20324
2202.69294,-2101.48157,6295.55922
-939.19889,-759.13218,6295.47502
6001.68877,-1643.07641,6292.43264
1947.62412,-3156.02236,6286.94088
4691.88649,-1871.97298,6286.35441
1018.68305,2257.89622,6286.33078
2663.80534,-2113.6653,6281.47804
-6509.39268,911.57664,6280.24373
674.09733,409.0443,6279.80569
4409.8947,-5340.97617,6274.60499
4762.35238,-122.31707,6269.38325
-5832.18028,-2235.46779,6269.21317
3713.82826,-989.84879,6268.44578
-1565.10791,4396.64291,6265.39102
-1110.96305,2408.6781,6264.26723
-4420.09283,-1525.01841,6258.7742
3011.6398,6386.66867,6256.20605
-2265.29968,4788.45404,6255.0268
-1717.53941,-302.43434,6254.93121
5533.74956,-2426.11649,6253.4741
2662.94685,2201.86927,6251.47118
-5833.71408,-1588.29217,6249.75774
-7114.67898,2538.82902,6249.2061
-112.37379,2686.56943,6248.73826
4002.75487,-2635.84541,6247.43151
857.94814,-7633.09831,6247.34649
4557.98279,562.82793,6245.04286
3454.27135,-365.44239,6241.38366
7358.84284,-2233.82117,6235.95045
-3601.23903,-6233.92056,6234.76293
5650.68283,1499.85213,6234.70849
4563.69165,-5258.19668,6234.4167
2170.58388,4749.61088,6231.21009
2466.50834,-1423.23176,6229.27229
-716.28915,6245.78317,6228.30629
4466.95331,-4108.40704,6227.49278
-6075.30236,209.96183,6217.79551
4079.20677,-679.43474,6212.09609
-718.41607,-63.02166,6208.25311
-4459.20552,-864.41642,6208.04903
3179.45575,3110.70042,6203.73031
2915.66077,-4372.77528,6202.90058
4.32349,2329.57669,6199.25683
952.51054,475.69931,6198.53441
-185.47349,-1625.04777,6198.08045
-950.50955,2759.22172,6196.47828
-719.88269,-1477.61807,6195.94995
1485.17319,-4216.87647,6187.3968
3326.74185,-2681.81121,6186.51317
3629.95866,-3829.41288,6185.24054
4847.3817,-1112.71595,6184.89394
3225.32404,2652.59158,6184.87995
3223.88109,-1017.99032,6177.67172
6035.20871,-4435.71726,6177.39928
-1366.26405,3426.62811,6176.46366
-3886.90006,-5146.38235,6174.63657
-5748.247,-2952.68967,6161.05999
6237.4585,342.18771,6158.22823
-3441.27852,-6263.70212,6158.1878
-1608.41038,-1062.21344,6156.94965
819.54317,-3320.28117,6156.08832
-3164.9768,-1769.56291,6154.02105
2035.02265,3586.00383,6153.77428
-3104.4198,-1451.6564,6152.12262
3694.82183,-2606.0606,6150.4801
4826.55069,-3454.76936,6149.82438
3575.63828,653.05409,6148.88099
-5392.60169,-5406.47094,6148.72389
4737.21411,-2440.06151,6140.28658
3203.26953,-523.90236,6139.20948
3091.66969,-3585.02887,6138.5413
2629.252,2550.0307,6132.27309
1449.43342,3472.30101,6131.83738
3641.25455,450.2836,6128.53295
1840.5605,3512.72882,6127.99965
2019.86001,-221.35334,6123.27323
-1417.36377,-4537.62083,6123.2034
-6592.72312,-3393.68223,6121.6453
-4903.00623,-4433.43827,6121.06185
-723.18683,385.82497,6118.17731
-820.16861,5600.30913,6116.23249
5170.76659,2045.41826,6113.9828
2275.20556,2386.26027,6111.83311
2426.17221,-2381.95108,6110.8219
-4460.18876,397.98477,6110.68192
4195.50306,4836.32516,6109.20533
-7651.77993,523.7591,6106.78531
-504.92883,1745.12137,6104.85041
-6482.30498,2208.93824,6104.77801
3322.71832,2401.73566,6103.84716
4483.83669,-971.16423,6101.11458
-260.14094,-903.47383,6100.82088
2770.05375,-390.8357,6100.57879
3321.04943,1879.9516,6098.6509
623.25789,-2844.749,6096.94332
5500.41507,-1423.18896,6096.26165
1685.55933,5321.5992,6094.3269
258.91911,-3522.69173,6092.36779
-2709.24269,-1361.44692,6089.62062
3627.1057,1750.39168,6087.65278
-1852.19548,-2660.8598,6087.00472
-5549.38208,3236.77425,6086.24085
2220.0541,474.68805,6083.72018
-30.84903,804.59454,6081.8998
-1749.3598,-1262.34481,6080.25791
4401.7317,-3941.75498,6075.01145
637.14128,922.5397,6070.16681
-546.92498,980.70446,6069.84724
-1907.16908,349.76559,6067.12209
2869.48447,-4946.76959,6061.35038
1121.51057,-333.77948,6060.92063
183.97685,-934.871,6060.52913
3276.69962,-368.64355,6057.20432
-174.91559,190.31284,6055.0913
4415.01797,1991.87531,6052.48642
438.43916,-914.46653,6050.56746
2141.0256,-1647.57478,6046.42358
2730.52179,-1709.63365,6044.37946
-1661.8256,4049.48426,6044.14676
4792.29293,1594.0239,6040.95557
3146.18783,-2154.17788,6039.98326
1926.4564,-3940.94154,6037.33738
4358.53883,3896.37372,6036.38031
4761.66542,-1994.31349,6028.05237
-1886.44596,4079.70023,6027.41039
3754.17244,-1709.76097,6021.80404
3031.31015,-2664.32289,6018.51493
3124.26709,2249.29723,6016.64058
4268.05328,-4751.7248,6012.61911
-980.61118,286.79321,6011.35605
445.07229,933.31989,6009.2491
139.7137,1233.80853,6007.99811
-157.02612,784.20202,6007.60583
-102.50316,1040.46173,6007.26082
4013.12122,565.26433,6007.1037
958.20605,813.11348,6004.87571
3172.71641,903.17381,6002.60473
-839.70507,7829.33704,6002.16285
743.24254,-431.79129,5999.34096
-3461.07222,-519.63061,5998.02181
-3636.395,1351.4622,5997.54845
7241.04594,1517.20804,5997.35695
-2894.67944,-311.98021,5997.32842
-1087.64613,208.24862,5996.15782
-904.96531,-2327.08584,5994.27472
-2108.96847,-5828.35626,5991.56168
3264.31335,-1533.47907,5991.22668
-3959.08624,-5710.7151,5990.106
2214.1792,5354.22419,5989.50186
871.41252,1026.27186,5985.41986
1475.07103,2768.99723,5984.19301
-2783.0394,-554.39953,5983.73331
86.71758,2414.39281,5982.18168
797.61651,-5350.65479,5980.86277
-1118.93425,1888.40305,5979.25751
315.8611,944.20684,5978.26482
2797.40277,-5430.62198,5977.81124
-1600.89071,-1513.75026,5976.2287
-6505.33169,-3056.52077,5973.45846
-3907.95993,-2867.1499,5973.18199
6088.85212,-4637.98911,5972.81595
-3250.81125,830.9999,5971.16248
-2148.46478,566.42475,5969.32679
-1366.85429,1038.10669,5969.32164
-973.26565,817.57433,5963.60431
112.5622,593.34115,5957.49171
-1312.40856,-1174.38729,5956.27025
-1011.63154,5244.59328,5955.74034
2607.21939,-1842.84382,5954.83827
